baixo,baixo,baixo,baixo,rejeita
baixo,baixo,baixo,medio,rejeita
baixo,baixo,baixo,alto,rejeita
baixo,baixo,medio,baixo,rejeita
baixo,baixo,medio,medio,rejeita
baixo,baixo,medio,alto,rejeita
baixo,baixo,alto,baixo,aceita
baixo,baixo,alto,medio,replica
baixo,baixo,alto,alto,replica
baixo,medio,baixo,baixo,replica
baixo,medio,baixo,medio,rejeita
baixo,medio,baixo,alto,rejeita
baixo,medio,medio,baixo,replica
baixo,medio,medio,medio,replica
baixo,medio,medio,alto,rejeita
baixo,medio,alto,baixo,aceita
baixo,medio,alto,medio,aceita
baixo,medio,alto,alto,replica
baixo,alto,baixo,baixo,aceita
baixo,alto,baixo,medio,replica
baixo,alto,baixo,alto,replica
baixo,alto,medio,baixo,aceita
baixo,alto,medio,medio,replica
baixo,alto,medio,alto,replica
baixo,alto,alto,baixo,aceita
baixo,alto,alto,medio,aceita
baixo,alto,alto,alto,replica
medio,baixo,baixo,baixo,replica
medio,baixo,baixo,medio,rejeita
medio,baixo,baixo,alto,rejeita
medio,baixo,medio,baixo,aceita
medio,baixo,medio,medio,replica
medio,baixo,medio,alto,rejeita
medio,baixo,alto,baixo,aceita
medio,baixo,alto,medio,replica
medio,baixo,alto,alto,replica
medio,medio,baixo,baixo,replica
medio,medio,baixo,medio,replica
medio,medio,baixo,alto,rejeita
medio,medio,medio,baixo,aceita
medio,medio,medio,medio,replica
medio,medio,medio,alto,replica
medio,medio,alto,baixo,aceita
medio,medio,alto,medio,aceita
medio,medio,alto,alto,replica
medio,alto,baixo,baixo,aceita
medio,alto,baixo,medio,aceita
medio,alto,baixo,alto,replica
medio,alto,medio,baixo,aceita
medio,alto,medio,medio,aceita
medio,alto,medio,alto,replica
medio,alto,alto,baixo,aceita
medio,alto,alto,medio,aceita
medio,alto,alto,alto,replica
alto,baixo,baixo,baixo,replica
alto,baixo,baixo,medio,replica
alto,baixo,baixo,alto,rejeita
alto,baixo,medio,baixo,aceita
alto,baixo,medio,medio,replica
alto,baixo,medio,alto,replica
alto,baixo,alto,baixo,aceita
alto,baixo,alto,medio,aceita
alto,baixo,alto,alto,replica
alto,medio,baixo,baixo,aceita
alto,medio,baixo,medio,replica
alto,medio,baixo,alto,replica
alto,medio,medio,baixo,aceita
alto,medio,medio,medio,aceita
alto,medio,medio,alto,replica
alto,medio,alto,baixo,aceita
alto,medio,alto,medio,aceita
alto,medio,alto,alto,replica
alto,alto,baixo,baixo,aceita
alto,alto,baixo,medio,replica
alto,alto,baixo,alto,replica
alto,alto,medio,baixo,aceita
alto,alto,medio,medio,aceita
alto,alto,medio,alto,replica
alto,alto,alto,baixo,aceita
alto,alto,alto,medio,aceita
alto,alto,alto,alto,aceita
